Año,Trimestre,Provincia,Banda ancha fija,Dial up,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Mbps (Media de bajada),Ingresos (miles de pesos),Accesos por cada 100 hab,Accesos por cada 100 hogares
2022,2,Buenos Aires,4660984,6199,350652,2719613,1399043,126847,71028,30639,28323,295238,307554,273954,129869,3535757,65849,66,60942843,26,77.58
2022,2,Capital Federal,1534626,2145,145491,1232226,121506,5757,31791,517,5980,36036,72434,55372,31571,1229254,105607,94,60942843,50,121.31
2022,2,Catamarca,67007,1,11928,9430,42087,1329,2234,71,413,3678,6155,7165,3393,43926,2207,57,60942843,16,62.4
2022,2,Chaco,143559,5,29552,61284,42194,8178,2356,461,1047,17603,20109,8391,15974,76271,3708,51,60942843,12,43.79
2022,2,Chubut,161901,904,45377,69242,9574,29784,8828,109,1444,45804,31217,34290,14526,15394,20021,15,60942843,26,83.19
2022,2,Córdoba,1026367,68,179181,467595,308895,61107,9657,99,11971,160486,120485,71923,28645,619400,13426,54,60942843,27,87.48
2022,2,Corrientes,144993,4,38468,75769,18181,7256,5323,67,3937,24253,24842,8001,21719,55071,7107,43,60942843,13,48.35
2022,2,Entre Ríos,269330,22,63794,131029,35839,26098,12592,107,5656,48637,48557,18512,32355,98769,16759,40,60942843,19,63.9
2022,2,Formosa,67881,0,15397,25487,9875,16910,212,97,407,23834,19706,6330,591,16326,590,28,60942843,11,43.42
2022,2,Jujuy,115314,0,20303,54495,34184,3955,2377,58,1829,19458,15790,37786,549,37391,2453,29,60942843,15,57.32
2022,2,La Pampa,111356,171,7796,59273,22994,20200,1264,68,1887,62546,9842,11800,5247,17125,3012,16,60942843,31,92.98
2022,2,La Rioja,86026,4,7759,52656,19189,6395,31,18,728,3179,3890,23814,5481,48920,0,43,60942843,21,80.14
2022,2,Mendoza,278785,777,37663,77504,135504,26964,1927,103,2954,44961,22557,64138,19543,121366,3940,30,60942843,14,49.39
2022,2,Misiones,178813,0,37208,89260,33649,11074,7622,51,3808,37254,21712,12774,19757,75107,8350,46,60942843,14,51.0
2022,2,Neuquén,161500,468,29749,74905,28824,27371,1119,134,999,38826,15066,9205,2039,76982,18717,47,60942843,24,80.02
2022,2,Río Negro,159216,548,36050,47040,40946,16760,18968,111,1227,33364,17938,27168,13714,41972,24270,33,60942843,21,67.85
2022,2,Salta,203172,5,42665,96178,47076,10068,7190,114,1530,33732,72661,6012,1156,81478,6494,39,60942843,14,57.54
2022,2,San Juan,100126,281,38570,19734,12328,21859,7916,24,2027,30385,11276,24649,3728,16701,11617,14,60942843,13,49.46
2022,2,San Luis,121559,182,6860,29034,248,70614,14985,60,306,6840,21217,11052,67438,13,14815,19,60942843,23,81.76
2022,2,Santa Cruz,48987,198,10170,23725,10815,3896,579,52,6841,12348,11369,11885,2454,3592,644,12,60942843,13,43.15
2022,2,Santa Fe,878749,110,198492,428233,189503,43081,19550,468,11757,138534,204381,74133,58114,373888,17584,42,60942843,24,77.9
2022,2,Santiago Del Estero,118042,2,16561,80338,11605,6618,2922,178,1401,29581,59931,14606,883,10672,792,16,60942843,12,47.7
2022,2,Tierra Del Fuego,53458,312,12754,39837,403,125,651,22,831,12052,14828,19968,1712,1006,3351,11,60942843,30,99.86
2022,2,Tucumán,254497,30,85893,15327,148823,3997,487,39,2195,34461,43513,23634,4863,145541,281,50,60942843,15,59.31
2022,1,Buenos Aires,4549131,6293,392045,2728865,1242121,125521,66872,31591,30056,313382,321756,290127,161183,3381049,26280,63,56195811,26,76.08
2022,1,Capital Federal,1415378,2163,102290,1217225,62308,5784,29934,527,5575,39918,77390,61053,43289,1188072,1717,88,56195811,46,111.8
2022,1,Catamarca,62377,1,14181,15517,29118,1328,2234,71,456,4386,7009,8773,3761,35715,2207,51,56195811,15,58.21
2022,1,Chaco,144114,5,32391,64546,36662,8164,2356,461,1099,16888,21235,20898,13012,62946,7580,46,56195811,12,44.06
